time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.11309e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735438	0.629569	7.20142	-5.2216e-17	3.99103e-17	radar	74.7305	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.49495	7.20449	-0.12721	-0.0118573	lidar	0.221107	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25806	0.53307	7.18978	0.12283	0.0306548	radar	1.82484	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61578	0.595367	7.20321	0.161604	0.04624	lidar	0.167578	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8511	0.561799	6.01407	0.0250798	-0.234988	radar	7.73721	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16309	0.591124	6.01363	0.0397915	-0.179032	lidar	0.254479	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37903	0.636902	5.61469	0.0549213	-0.348938	radar	6.36418	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65662	0.653843	5.61188	0.0435371	-0.326187	lidar	0.00909993	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92311	0.64728	5.54745	-0.00484814	-0.482446	radar	0.449607	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15931	0.642638	5.50361	-0.0183296	-0.446381	lidar	1.21329	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44471	0.538651	5.53479	-0.166516	-0.858838	radar	1.25664	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74775	0.426547	5.59847	-0.284471	-1.07643	lidar	2.05786	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02884	0.510384	5.55881	-0.148364	-0.55511	radar	4.17697	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30292	0.50211	5.54193	-0.141441	-0.471519	lidar	0.386582	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56428	0.536476	5.47006	-0.103014	-0.339349	radar	2.18104	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75575	0.641184	5.32024	-0.00421156	-0.098976	lidar	13.1949	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00886	0.638726	5.26534	-0.0137301	-0.110569	radar	2.18365	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30966	0.637388	5.30949	-0.0180237	-0.107925	lidar	2.31222	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.5672	0.645594	5.31396	-0.0113939	-0.0854082	radar	1.67749	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86018	0.663352	5.34231	-0.00152503	-0.0616665	lidar	1.50073	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10431	0.588728	5.29616	-0.0559551	-0.146481	radar	3.88797	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36118	0.703401	5.27044	0.0199429	-0.0178693	lidar	4.12155	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.61308	0.73404	5.23788	0.0338306	0.00331475	radar	0.859891	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86118	0.733965	5.22408	0.0290138	-0.003734	lidar	0.348882	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.10753	0.716115	5.17025	0.0123689	-0.0288516	radar	3.60719	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.33042	0.801619	5.12719	0.0577121	0.0353991	lidar	3.60434	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.61781	0.813189	5.18616	0.0577051	0.0335383	radar	3.71351	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.8676	0.793082	5.17726	0.0408421	0.00925322	lidar	0.554942	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.1199	0.809839	5.14222	0.043416	0.0104732	radar	2.68067	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.35823	0.829018	5.1225	0.0485173	0.0165638	lidar	0.638774	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
